Justin Abdelkader,30,66,1
Noel Acciari,26,84,1
Kenny Agostino,45,51,1
Sebastian Aho,101,45,0
Josh Anderson,68,97,1
Josh Archibald,40,67,1
Zach Aston-Reese,30,64,1
Andreas Athanasiou,78,15,0
Cam Atkinson,87,19,0
David Backes,37,57,1
Mikael Backlund,64,43,0
Nicklas Backstrom,91,29,0
Josh Bailey,81,21,0
Ivan Barbashev,55,37,0
Aleksander Barkov,105,28,0
Tyson Barrie,66,45,2
Mathew Barzal,84,24,0
Anthony Beauvillier,47,41,0
Jamie Benn,71,78,1
Jordie Benn,30,91,3
Sam Bennett,50,46,0
Matt Benning,28,61,3
Patrice Bergeron,105,46,0
Tyler Bertuzzi,70,44,0
Oliver Bjorkstrand,71,30,0
Nick Bjugstad,42,54,1
Zach Bogosian,21,64,3
Nick Bonino,52,45,0
Mark Borowiecki,8,96,3
Johnny Boychuk,25,93,3
Brian Boyle,44,58,1
Justin Braun,19,73,3
T.J. Brodie,39,50,2
Troy Brouwer,40,69,1
Dustin Brown,61,51,0
Brent Burns,81,72,2
Paul Byron,52,58,1
Drake Caggiula,39,51,1
Matt Calvert,45,50,1
Brandon Carlo,12,85,3
John Carlson,68,85,3
William Carrier,22,95,1
Cody Ceci,28,76,3
Erik Cernak,20,105,3
Thomas Chabot,55,55,2
Ben Chiarot,26,106,3
Alex Chiasson,55,38,0
Anthony Cirelli,64,60,0
Casey Cizikas,58,77,1
Kyle Clifford,49,48,0
Cal Clutterbuck,40,86,1
Braydon Coburn,35,55,3
Ian Cole,19,94,3
Blake Coleman,52,80,1
Blake Comeau,28,79,1
Brett Connolly,84,32,0
Kyle Connor,84,6,0
Andrew Copp,50,45,0
Nick Cousins,49,51,1
Logan Couture,92,36,0
Sean Couturier,84,34,0
Charlie Coyle,50,44,0
Sidney Crosby,116,52,0
Lawson Crouse,47,113,1
Evgenii Dadonov,93,22,0
Rasmus Dahlin,51,48,2
Phillip Danault,73,60,0
Calvin de Haan,18,98,3
Anthony DeAngelo,38,48,2
Alex DeBrincat,105,20,0
Jake Debrusk,64,24,0
Dylan DeMelo,28,83,3
Jason Dickinson,40,56,1
Brenden Dillon,30,102,3
Max Domi,101,41,0
Joonas Donskoi,67,29,0
Drew Doughty,41,79,3
Nic Dowd,52,50,0
Leon Draisaitl,114,29,0
Jonathan Drouin,77,22,0
Pierre-Luc Dubois,84,64,0
Matt Duchene,91,21,0
Anthony Duclair,64,21,0
Brian Dumoulin,27,105,3
Vince Dunn,49,46,2
Ryan Dzingel,81,26,0
Cody Eakin,65,50,0
Alexander Edler,34,99,3
Joel Edmundson,14,82,3
Jack Eichel,98,35,0
Aaron Ekblad,38,68,3
